Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float,Filename:string,Line Number:uinteger,Start Address:uinteger
"_UNKNOWN_, addBufferToHistory(short *, struct chunk *)","160","132","132","132.0","21120.0","132","132","132.0","21120.0","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","3","3724"
"_UNKNOWN_, analysis(short *, struct chunk *)","160","146","146","146.0","23360.0","8159","8563","8374.362499999997","1339897.9999999995","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","187","3876"
"_UNKNOWN_, combine(short *, short *, short *, short *, unsigned char, unsigned char, unsigned char, short *)","960","94","169","119.0","114240.0","194","369","252.33333333333334","242240.0","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","106","3500"
"_UNKNOWN_, combineWithoutDelay(short *, short *, short *, short *, unsigned short, unsigned short, unsigned short)","960","98","178","124.66666666666667","119680.0","198","378","258.0000000000007","247680.00000000064","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","80","5108"
"_UNKNOWN_, compress30Samples(short *)","160","41","41","41.0","6560.0","41","41","41.0","6560.0","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","4","26252"
"_UNKNOWN_, convolve(short *, short *, short *, unsigned char, unsigned char, unsigned char, short *, short *, unsigned char, unsigned char, unsigned char)","1920","378","976","577.3333333333326","1108479.9999999986","708","1774","1053.6932291666685","2023091.0000000035","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","27","3084"
"_UNKNOWN_, copyToHistoryChunk(short *, short *, short *, short *, short *, short *, struct chunk *)","160","79","79","79.0","12640.0","79","79","79.0","12640.0","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","6","4784"
"_UNKNOWN_, copyToLowerLayer(struct chunk *)","160","263","263","263.0","42080.0","263","263","263.0","42080.0","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","155","2464"
"_UNKNOWN_, copyToUpperLayer(struct chunk *)","160","269","269","269.0","43040.0","269","269","269.0","43040.0","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","29","5240"
"_UNKNOWN_, decompress30samples(unsigned char *, short *)","160","37","38","37.974999999999994","6075.999999999999","37","38","37.974999999999994","6075.999999999999","C:\Users\Seppe\workspace_CCS\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","48","26080"
