Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float,Filename:string,Line Number:uinteger,Start Address:uinteger
"_UNKNOWN_, addBufferToHistory(short *, struct chunk *)","160","250","250","250.0","40000.0","250","250","250.0","40000.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","3","2147489864"
"_UNKNOWN_, analysis(short *, struct chunk *)","160","221","221","221.0","35360.0","22952","50828","45289.67499999999","7246347.999999998","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","160","2147490016"
"_UNKNOWN_, combine(short *, short *, short *, short *, unsigned short, unsigned short, unsigned short, short *)","960","105","190","133.3333333333336","128000.00000000026","205","390","266.66666666666634","255999.99999999968","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","79","2147489644"
"_UNKNOWN_, combineWithoutDelay(short *, short *, short *, short *, unsigned short, unsigned short, unsigned short)","960","143","268","184.6666666666665","177279.99999999983","243","468","318.0000000000002","305280.00000000023","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","80","2147484036"
"_UNKNOWN_, compress30Samples(short *)","160","41","41","41.0","6560.0","41","41","41.0","6560.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","4","2147510788"
"_UNKNOWN_, convolve(short *, short *, unsigned short, unsigned short, unsigned short, short *, unsigned short, unsigned short, unsigned short)","3840","574","1599","915.6666666666664","3516159.999999999","1159","6591","3519.4710937499995","1.3514768999999998E7","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","24","2147489164"
"_UNKNOWN_, copyToHistoryChunk(short *, short *, short *, short *, short *, short *, struct chunk *)","160","197","197","197.0","31520.0","197","197","197.0","31520.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","6","2147483792"
"_UNKNOWN_, copyToLowerLayer(struct chunk *)","160","261","261","261.0","41760.0","261","261","261.0","41760.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","128","2147488544"
"_UNKNOWN_, copyToUpperLayer(struct chunk *)","160","308","308","308.0","49280.0","308","308","308.0","49280.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","29","2147484172"
"_UNKNOWN_, decompress30samples(unsigned char *, short *)","160","63","63","63.0","10080.0","63","63","63.0","10080.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","48","2147510624"
