Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float,Filename:string,Line Number:uinteger,Start Address:uinteger
"_UNKNOWN_, addBufferToHistory(short *, struct chunk *)","160","250","250","250.0","40000.0","250","250","250.0","40000.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","3","2147488472"
"_UNKNOWN_, analysis(short *, struct chunk *)","160","221","221","221.0","35360.0","22616","50492","44949.0625","7191850.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","574","2147488628"
"_UNKNOWN_, combine(short *, short *, short *, short *, unsigned short, unsigned short, unsigned short, short *)","960","105","190","133.3333333333336","128000.00000000026","205","390","266.66666666666634","255999.99999999968","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","493","2147488248"
"_UNKNOWN_, combineWithoutDelay(short *, short *, short *, short *, unsigned short, unsigned short, unsigned short)","960","143","268","184.6666666666665","177279.99999999983","243","468","318.0000000000002","305280.00000000023","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","80","2147492228"
"_UNKNOWN_, compress30Samples(short *)","160","41","41","41.0","6560.0","41","41","41.0","6560.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","4","2147514212"
"_UNKNOWN_, convolve(short *, short *, unsigned short, unsigned short, unsigned short, short *, unsigned short, unsigned short, unsigned short)","1280","1599","1599","1599.0","2046720.0","2769","6591","5671.298437499993","7259261.999999992","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","24","2147487776"
"_UNKNOWN_, convolveFilter2Even(short *, unsigned short, unsigned short, short *, unsigned short, unsigned short, unsigned short)","640","586","586","586.0","375040.0","1171","2993","2543.035937500001","1627543.0000000007","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","81","2147486816"
"_UNKNOWN_, convolveFilter2Odd(short *, unsigned short, unsigned short, short *, unsigned short, unsigned short, unsigned short)","640","590","590","590.0","377600.0","1175","3045","2557.20625","1636612.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","193","2147485832"
"_UNKNOWN_, convolveFilter3Even(short *, unsigned short, unsigned short, short *, unsigned short, unsigned short, unsigned short)","640","481","481","481.0","307840.0","1066","2969","2255.992187499999","1443834.9999999995","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","306","2147485056"
"_UNKNOWN_, convolveFilter3Odd(short *, unsigned short, unsigned short, short *, unsigned short, unsigned short, unsigned short)","640","471","471","471.0","301440.0","1056","2959","2252.4546875000024","1441571.0000000014","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","401","2147484268"
