Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float,Filename:string,Line Number:uinteger,Start Address:uinteger
"_UNKNOWN_, addBufferToHistory(short *, struct chunk *)","160","132","132","132.0","21120.0","132","132","132.0","21120.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","3","2147485596"
"_UNKNOWN_, analysis(short *, struct chunk *)","160","146","146","146.0","23360.0","17781","46915","40193.924999999996","6431027.999999999","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","179","2147485752"
"_UNKNOWN_, combine(short *, short *, short *, short *, unsigned char, unsigned char, unsigned char, short *)","960","94","169","119.0","114240.0","194","369","252.33333333333334","242240.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","98","2147485364"
"_UNKNOWN_, combineWithoutDelay(short *, short *, short *, short *, unsigned short, unsigned short, unsigned short)","960","98","178","124.66666666666667","119680.0","198","378","258.0000000000007","247680.00000000064","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","80","2147489428"
"_UNKNOWN_, compress30Samples(short *)","160","41","41","41.0","6560.0","41","41","41.0","6560.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","4","2147510604"
"_UNKNOWN_, convolve(short *, short *, short *, unsigned char, unsigned char, unsigned char, short *, short *, unsigned char, unsigned char, unsigned char)","1920","729","1989","1148.9999999999995","2206079.999999999","1799","11709","6231.970312500001","1.1965383000000002E7","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","24","2147484268"
"_UNKNOWN_, copyToHistoryChunk(short *, short *, short *, short *, short *, short *, struct chunk *)","160","79","79","79.0","12640.0","79","79","79.0","12640.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","6","2147489104"
"_UNKNOWN_, copyToLowerLayer(struct chunk *)","160","263","263","263.0","42080.0","263","263","263.0","42080.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","147","2147483648"
"_UNKNOWN_, copyToUpperLayer(struct chunk *)","160","269","269","269.0","43040.0","269","269","269.0","43040.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","29","2147489560"
"_UNKNOWN_, decompress30samples(unsigned char *, short *)","160","37","38","37.974999999999994","6075.999999999999","37","38","37.974999999999994","6075.999999999999","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","48","2147510432"
"_UNKNOWN_, dequantize(short *, short *, unsigned char, struct parameters *, struct start_values *)","960","302","302","302.0","289920.0","887","4162","3178.8166666666666","3051664.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\dequantize.c","7","2147510784"
"_UNKNOWN_, main(int, char * *)","1","-","-","29700.0","29700.0","-","-","2.0098343E7","2.0098343E7","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\main.c","94","2147495072"
"_UNKNOWN_, quantize(short *, short *, unsigned char, unsigned char, unsigned char, struct parameters *, struct start_values *)","960","455","455","455.0","436800.0","1255","4210","3535.041666666666","3393639.9999999995","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\quantize.c","7","2147507456"
"_UNKNOWN_, synthesis(short *, short *, short *, short *, short *, short *, short *, struct chunk *)","160","197","197","197.0","31520.0","17681","45406","38871.71875000001","6219475.000000001","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","109","2147490180"
