Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float,Filename:string,Line Number:uinteger,Start Address:uinteger
"_UNKNOWN_, addBufferToHistory(short *, struct chunk *)","160","132","132","132.0","21120.0","132","132","132.0","21120.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","3","2147485564"
"_UNKNOWN_, analysis(short *, struct chunk *)","160","146","146","146.0","23360.0","5439","5439","5439.0","870240.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","189","2147485720"
"_UNKNOWN_, combine(short *, short *, short *, short *, unsigned char, unsigned char, unsigned char, short *)","960","94","169","119.0","114240.0","194","369","252.33333333333334","242240.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","108","2147485336"
"_UNKNOWN_, combineWithoutDelay(short *, short *, short *, short *, unsigned short, unsigned short, unsigned short)","960","98","178","124.66666666666667","119680.0","198","378","258.0000000000007","247680.00000000064","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","80","2147489396"
"_UNKNOWN_, compress30Samples(short *)","160","41","41","41.0","6560.0","41","41","41.0","6560.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","4","2147511244"
"_UNKNOWN_, convolve(short *, short *, short *, unsigned char, unsigned char, unsigned char, short *, short *, unsigned char, unsigned char, unsigned char)","1920","285","722","430.6666666666664","826879.9999999995","385","922","563.9999999999998","1082879.9999999995","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","27","2147484288"
"_UNKNOWN_, copyToHistoryChunk(short *, short *, short *, short *, short *, short *, struct chunk *)","160","79","79","79.0","12640.0","79","79","79.0","12640.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","6","2147489072"
"_UNKNOWN_, copyToLowerLayer(struct chunk *)","160","263","263","263.0","42080.0","263","263","263.0","42080.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","157","2147483648"
"_UNKNOWN_, copyToUpperLayer(struct chunk *)","160","269","269","269.0","43040.0","269","269","269.0","43040.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","29","2147489528"
"_UNKNOWN_, decompress30samples(unsigned char *, short *)","160","37","37","37.0","5920.0","37","37","37.0","5920.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\bitManipulation.c","48","2147511072"
"_UNKNOWN_, dequantize(short *, short *, unsigned char, struct parameters *, struct start_values *)","960","566","596","586.5062499999999","563045.9999999999","586","616","606.5062500000001","582246.0000000001","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\dequantize.c","7","2147510688"
"_UNKNOWN_, main(int, char * *)","1","-","-","29968.0","29968.0","-","-","4078088.0","4078088.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\main.c","101","2147493824"
"_UNKNOWN_, quantize(short *, short *, unsigned char, unsigned char, unsigned char, struct parameters *, struct start_values *)","960","674","856","735.4416666666667","706024.0","694","876","755.4416666666667","725224.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\quantize.c","7","2147501632"
"_UNKNOWN_, synthesis(short *, short *, short *, short *, short *, short *, short *, struct chunk *)","160","197","197","197.0","31520.0","5611","5611","5611.0","897760.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","109","2147490148"
"_UNKNOWN_, wavpcm_input_close(struct wavpcm_input *)","1","6","6","6.0","6.0","470","470","470.0","470.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\wavpcm_io.c","220","2147488848"
"_UNKNOWN_, wavpcm_input_open(struct wavpcm_input *)","1","131","131","131.0","131.0","2521","2521","2521.0","2521.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\wavpcm_io.c","54","2147488140"
