Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float,Filename:string,Line Number:uinteger,Start Address:uinteger
"_UNKNOWN_, main(int, char * *)","1","-","-","445298.0","445298.0","-","-","4.8910302E7","4.8910302E7","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\main.c","106","2147493568"
"_UNKNOWN_, wavpcm_output_close(struct wavpcm_output *)","1","97","97","97.0","97.0","1674","1674","1674.0","1674.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\wavpcm_io.c","323","2147484500"
"_UNKNOWN_, convolve(short *, short *, short *, unsigned char, unsigned char, unsigned char, short *, short *, unsigned char, unsigned char, unsigned char)","28800","265","623","384.3333333333342","1.1068800000000026E7","265","623","384.3333333333342","1.1068800000000026E7","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","30","2147489100"
"_UNKNOWN_, main(int, char * *)","1","-","-","445298.0","445298.0","-","-","4.8910302E7","4.8910302E7","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\main.c","106","2147493568"
"_UNKNOWN_, dequantize(short *, short *, unsigned char, struct parameters *, struct start_values *)","14400","558","599","573.4220833333338","8257278.000000007","558","599","573.4220833333338","8257278.000000007","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\dequantize.c","7","2147509408"
"_UNKNOWN_, quantize(short *, short *, unsigned char, unsigned char, unsigned char, struct parameters *, struct start_values *)","14400","674","876","713.6269444444406","1.0276227999999944E7","674","876","713.6269444444406","1.0276227999999944E7","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\quantize.c","6","2147500032"
"_UNKNOWN_, analysis(short *, struct chunk *)","2400","146","146","146.0","350400.0","3167","3167","3167.0","7600800.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","210","2147490052"
"_UNKNOWN_, wavpcm_input_close(struct wavpcm_input *)","1","6","6","6.0","6.0","470","470","470.0","470.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\wavpcm_io.c","220","2147486064"
"_UNKNOWN_, combine(short *, short *, short *, short *, unsigned char, unsigned char, unsigned char, short *)","14400","45","70","53.33333333333335","768000.0000000002","45","70","53.33333333333335","768000.0000000002","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\analysis.c","125","2147489708"
"_UNKNOWN_, copyToUpperLayer(struct chunk *)","2400","269","269","269.0","645600.0","269","269","269.0","645600.0","E:\Koen\Documenten\2015-2016\pno\dsp\PnD_Speech_Codec_Koen_Seppe\PnD_Speech_Codec_Koen_Seppe\Release\..\synthesis.c","29","2147487052"
